target_no2,temperature,pct_11240,pct_12100,pct_21000,pct_23000,pct_50000,pct_11100,pct_11220,pct_11230,pct_12220,pct_13300,pct_13400,pct_14100,pct_14200,pct_11210,pct_12230,pct_31000,pct_11300,pct_32000,pct_12210,pct_24000,pct_12400,pct_13100,pct_40000,pct_33000
7.821057,21.72,0.0,12.21,1.1,0.0,0.0,77.69,2.2,0.0,0.0,0.0,3.03,2.75,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,16.44,9.37,0.0,0.0,65.93,0.28,0.0,0.28,0.0,0.55,1.01,0.92,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,2.85,12.3,2.75,0.0,68.96,0.73,0.0,0.0,0.83,2.85,6.8,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,3.03,0.0,2.57,0.0,89.81,0.0,0.0,0.18,0.0,1.56,2.57,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,2.3,0.0,15.61,28.28,0.0,41.32,0.83,0.37,0.0,0.0,2.02,6.61,0.0,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,0.0,31.68,56.2,0.0,5.42,0.0,0.0,2.11,0.46,0.0,0.0,0.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,0.0,0.18,95.78,0.0,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,0.0,0.0,53.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.62,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,0.28,4.59,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.18,90.82,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.28,92.65,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0
7.398912,21.72,0.0,0.0,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.269406,21.72,0.0,0.0,76.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.269406,21.72,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.08063,21.467,0.0,7.9,64.55,4.04,0.0,19.74,0.0,0.0,0.0,0.0,1.1,0.0,0.0,1.65,0.64,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
